school,address,latitude,longitude
P.S. 110 Theodore Schoenfeld,"580 Crotona Park S, The Bronx, NY 10456, USA",40.8350416,-73.9004334
P.S. 111 Adolph S. Ochs,"440 W 53rd St, New York, NY 10019, USA",40.7660107,-73.9897148
P.S. 111 Jacob Blackwell,"37-15 13th St, Long Island City, NY 11101, USA",40.7586787,-73.9392002
P.S. 111 Seton Falls,"3740 Baychester Ave, The Bronx, NY 10466, USA",40.8843152,-73.8397468
P.S. 112 Bronxwood,"1925 Schieffelin Ave, The Bronx, NY 10466, USA",40.8847649,-73.8439899
P.S. 112 Jose Celso Barbosa,"535 E 119th St, New York, NY 10035, USA",40.7964942,-73.9300386
P.S. 115 Alexander Humboldt,"586 W 177th St, New York, NY 10033, USA",40.8462428,-73.93502219999999
P.S. 115 Daniel Mucatel School,"1500 E 92nd St, Brooklyn, NY 11236, USA",40.6349577,-73.897999
P.S. 117 J. Keld / Briarwood School,"85-15 143rd St, Briarwood, NY 11435, USA",40.7102309,-73.81305689999999
P.S. 119 Amersfort,"3829 Avenue K, Brooklyn, NY 11210, USA",40.6260567,-73.9388469
P.S. 119,"1075 Pugsley Ave, The Bronx, NY 10472, USA",40.82856650000001,-73.85686849999999
P.S. 120 Carlos Tapia,"18 Beaver St, Brooklyn, NY 11206, USA",40.7007468,-73.9376826
P.S. 120 Queens,"58-01 136th St, Flushing, NY 11355, USA",40.7454054,-73.82871
P.S. 122 Mamie Fay,"21-21 Ditmars Blvd, Queens, NY 11105, USA",40.7802869,-73.9160468
P.S. 123 Mahalia Jackson,"301 W 140th St, New York, NY 10030, USA",40.8203373,-73.9443402
P.S. 123 Suydam,"100 Irving Ave, Brooklyn, NY 11237, USA",40.7039048,-73.9225744
P.S. 124 Silas B. Dutcher,"515 4th Ave, Brooklyn, NY 11215, USA",40.66748750000001,-73.9906623
P.S. 126 Dr Marjorie H Dunbar,"175 W 166th St, The Bronx, NY 10452, USA",40.8360666,-73.9283851
P.S. 126 Jacob August Riis,"80 Catherine St, New York, NY 10038, USA",40.7105672,-73.9970098
P.S. 127 Mckinley Park,"7805 7th Ave, Brooklyn, NY 11228, USA",40.6237903,-74.018579
P.S. 128 Bensonhurst,"2075 84th St, Brooklyn, NY 11214, USA",40.604933,-73.99503179999999
P.S. 130 Hernando De Soto,"P.S. 130 Hernando De Soto, 143 Baxter St, New York, NY 10013, USA",40.7188532,-73.9982914
P.S. 130 The Parkside,"70 Ocean Pkwy, Brooklyn, NY 11218, USA",40.648959,-73.97584789999999
P.S. 131 Brooklyn,"4305 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",40.640783,-73.9933331
P.S. 133 Fred R Moore,"2121 5th Ave, New York, NY 10037, USA",40.8098605,-73.9392692
P.S. 134 George F. Bristow,"1330 Bristow St, The Bronx, NY 10459, USA",40.831595,-73.894227
P.S. 134 Hollis,"203-2 109th Ave, St. Albans, NY 11412, USA",40.7078275,-73.7548656
P.S. 135 Sheldon A. Brookner,"5811 Ditmas Ave, Brooklyn, NY 11203, USA",40.6441546,-73.9215613
P.S. 135 Sheldon A. Brookner,"684 Linden Blvd, Brooklyn, NY 11203, USA",40.6531986,-73.9329511
P.S. 138 Brooklyn,"760 Prospect Pl, Brooklyn, NY 11216, USA",40.6737453,-73.9513202
P.S. 139 Alexine A. Fenty,"330 Rugby Rd, Brooklyn, NY 11226, USA",40.6413592,-73.9657847
P.S. 142 Amalia Castro,"100 Attorney St, New York, NY 10002, USA",40.7182566,-73.98401299999999
P.S. 147 Isaac Remsen,"325 Bushwick Ave, Brooklyn, NY 11206, USA",40.7050566,-73.9386916
P.S. 148 Queens,"89-02 32nd Ave, Flushing, NY 11369, USA",40.7576279,-73.878619
P.S. 149 Christa Mcauliffe,"93-11 34th Ave, Jackson Heights, NY 11372, USA",40.7552247,-73.87420399999999
P.S. 149 Sojourner Truth,"41 W 117th St, New York, NY 10026, USA",40.8026661,-73.9482563
P.S. 150 Charles James Fox,"920 E 167th St, The Bronx, NY 10459, USA",40.8261982,-73.89427289999999
P.S. 150 Christopher,"364 Sackman St, Brooklyn, NY 11212, USA",40.6686983,-73.9050266
P.S. 150 Queens,"40-01 43rd Ave, Sunnyside, NY 11104, USA",40.7457471,-73.92332019999999
P.S. 151 Lyndon B. Johnson,"763 Knickerbocker Ave, Brooklyn, NY 11207, USA",40.6933707,-73.9082333
P.S. 152 Dyckman Valley,"93 Nagle Ave, New York, NY 10040, USA",40.8601407,-73.92757780000001
P.S. 154 Harriet Tubman,"250 W 127th St, New York, NY 10027, USA",40.8106338,-73.9487487
P.S. 157 Benjamin Franklin,"850 Kent Ave, Brooklyn, NY 11205, USA",40.6953729,-73.95995309999999
P.S. 158 Warwick,"400 Ashford St, Brooklyn, NY 11207, USA",40.6725442,-73.8851372
P.S. 159 Isaac Pitkin,"2781 Pitkin Ave, Brooklyn, NY 11208, USA",40.67598479999999,-73.86964379999999
P.S. 160 Walt Disney,"4140 Hutchinson River Pkwy E, The Bronx, NY 10475, USA",40.8643078,-73.82398640000001
P.S. 160,"1057 52nd St, Brooklyn, NY 11219, USA",40.63659850000001,-73.99899409999999
P.S. 161 Pedro Albizu Campos,"499 W 133rd St, New York, NY 10027, USA",40.81775520000001,-73.9524683
P.S. 161 The Crown,"330 Crown St, Brooklyn, NY 11225, USA",40.6659347,-73.949485
P.S. 163 Alfred E. Smith,"163 W 97th St, New York, NY 10025, USA",40.7948887,-73.9684479
P.S. 163 Arthur A. Schomburg,"2075 Webster Ave, The Bronx, NY 10457, USA",40.8518013,-73.8988258
P.S. 164 Caesar Rodney,"4211 14th Ave, Brooklyn, NY 11219, USA",40.6371629,-73.9858036
P.S. 165 Edith K. Bergtraum,"70-35 150th St, Flushing, NY 11367, USA",40.7296723,-73.8176653
P.S. 166 Henry Gradstein,"33-09 35th Ave, Astoria, NY 11106, USA",40.75738610000001,-73.9261081
P.S. 169 Bay Terrace,"18-25 212th St, Flushing, NY 11360, USA",40.7823459,-73.77844
P.S. 169 Sunset Park,"4305 7th Ave, Brooklyn, NY 11232, USA",40.6459698,-74.0018264
P.S. 170,"1598 Townsend Ave, The Bronx, NY 10452, USA",40.8445236,-73.9132748
P.S. 172 Beacon School of Excellence,"825 4th Ave, Brooklyn, NY 11232, USA",40.6575977,-74.0000943
P.S. 173 Fresh Meadows,"174-10 67th Ave, Fresh Meadows, NY 11365, USA",40.7341231,-73.79535709999999
P.S. 175 City Island,"200 City Island Ave, The Bronx, NY 10464, USA",40.8437411,-73.7848326
P.S. 175 The Lynn Gross Discovery School,"64-35 102nd St, Rego Park, NY 11374, USA",40.7308519,-73.852491
P.S. 176 Cambria Heights,"120-45 235th St, Cambria Heights, NY 11411, USA",40.6848405,-73.7297194
P.S. 176 Ovington,"1225 Bay Ridge Ave, Brooklyn, NY 11219, USA",40.6247799,-74.0051318
P.S. 177 The Marlboro,"346 Avenue P, Brooklyn, NY 11204, USA",40.6084307,-73.9744123
P.S. 178 - Dr. Selman Waksman,"850 Baychester Ave, The Bronx, NY 10475, USA",40.8751476,-73.8329925
P.S. 178 Saint Clair Mckelway,"2163 Dean St, Brooklyn, NY 11233, USA",40.6752336,-73.915361
P.S. 179 Kensington,"202 Avenue C, Brooklyn, NY 11218, USA",40.6402049,-73.9772637
P.S. 183 Dr. Richard R. Green,"2-45 Beach 79th St, Far Rockaway, NY 11693, USA",40.58891759999999,-73.8058736
P.S. 184 Newport,"273 Newport St, Brooklyn, NY 11212, USA",40.6601967,-73.9050266
P.S. 184m Shuang Wen,"327 Cherry St, New York, NY 10002, USA",40.7113459,-73.9856822
P.S. 185 Walter Kassenbrock,"8601 Ridge Blvd, Brooklyn, NY 11209, USA",40.6235788,-74.0335467
P.S. 186 Dr. Irving A Gladstone,"7601 19th Ave, Brooklyn, NY 11214, USA",40.6112005,-73.9944809
P.S. 189 Lincoln Terrace,"1100 E New York Ave, Brooklyn, NY 11212, USA",40.6654264,-73.92567100000001
P.S. 189,"2580 Amsterdam Ave, New York, NY 10040, USA",40.8531056,-73.9279452
P.S. 191 Paul Robeson,"1600 Park Pl, Brooklyn, NY 11233, USA",40.67184109999999,-73.92412689999999
P.S. 192 Jacob H. Schiff,"500 W 138th St, New York, NY 10031, USA",40.8210016,-73.9533407
P.S. 193 Gil Hodges,"2515 Avenue L, Brooklyn, NY 11210, USA",40.6218095,-73.9504018
P.S. 194 Countee Cullen,"244 W 144th St, New York, NY 10030, USA",40.8212338,-73.9406204
P.S. 194 Raoul Wallenberg,"3117 Avenue W, Brooklyn, NY 11229, USA",40.5973303,-73.9338696
P.S. 196 Ten Eyck,"207 Bushwick Ave, Brooklyn, NY 11206, USA",40.708637,-73.9394264
P.S. 197 John B. Russwurm,"2230 5th Ave, New York, NY 10037, USA",40.8133503,-73.9377732
P.S. 198 Brooklyn,"4105 Farragut Rd, Brooklyn, NY 11203, USA",40.6374913,-73.93694649999999
P.S. 199X - The Shakespeare School,"1449 Shakespeare Ave, The Bronx, NY 10452, USA",40.8436596,-73.92059680000001
P.S. 200 Benson School,"1940 Benson Ave, Brooklyn, NY 11214, USA",40.6030132,-74.0019641
P.S. 202 Ernest S. Jenkyns,"982 Hegeman Ave, Brooklyn, NY 11208, USA",40.6661578,-73.8761335
P.S. 203 The School for Future Leaders,"5101 Avenue M, Brooklyn, NY 11234, USA",40.6219237,-73.9259244
P.S. 204 Vince Lombardi,"8101 15th Ave, Brooklyn, NY 11228, USA",40.613556,-74.00646309999999
P.S. 206 Joseph F Lamb,"2200 Gravesend Neck Rd, Brooklyn, NY 11229, USA",40.5972728,-73.9484272
P.S. 207 Elizabeth G. Leary,"3874 Flatlands Ave, Brooklyn, NY 11234, USA",40.6202297,-73.9363036
P.S. 207 Elizabeth G. Leary,"4011 Fillmore Ave, Brooklyn, NY 11234, USA",40.6137068,-73.9301496
P.S. 207,"3030 Godwin Terrace, The Bronx, NY 10463, USA",40.8781939,-73.9063216
P.S. 208 Elsa Ebeling,"4801 Avenue D, Brooklyn, NY 11203, USA",40.6424792,-73.9307007
P.S. 209 Margaret Mead,"2609 E 7th St, Brooklyn, NY 11235, USA",40.5866912,-73.9616521
P.S. 21 Margaret Emery-Elm Park,"168 Hooker Pl, Staten Island, NY 10302, USA",40.6313074,-74.1446112
P.S. 213 New Lots,"580 Hegeman Ave, Brooklyn, NY 11207, USA",40.6599865,-73.890282
P.S. 214,"1970 W Farms Rd, The Bronx, NY 10460, USA",40.83941,-73.8801376
P.S. 215 Morris H. Weiss,"415 Avenue S, Brooklyn, NY 11223, USA",40.6026062,-73.9699019
P.S. 216 Arturo Toscanini,"350 Avenue X, Brooklyn, NY 11223, USA",40.5902191,-73.9698713
P.S. 217 Colonel David Marcus School,"1100 Newkirk Ave, Brooklyn, NY 11230, USA",40.6337679,-73.96624390000001
P.S. 219 Kennedy-King,"1060 Clarkson Ave, Brooklyn, NY 11212, USA",40.6591609,-73.922434
P.S. 223 Lyndon B. Johnson,"125-20 Sutphin Blvd, Jamaica, NY 11434, USA",40.674555,-73.7902123
P.S. 230 Doris L. Cohen,"1 Albemarle Rd, Brooklyn, NY 11218, USA",40.6451769,-73.9807802
P.S. 232 Lindenwood,"153-23 83rd St, Howard Beach, NY 11414, USA",40.6657686,-73.8508003
P.S. 234,"30-15 29th St, Astoria, NY 11102, USA",40.7668892,-73.9232147
P.S. 236 Mill Basin,"6302 Avenue U, Brooklyn, NY 11234, USA",40.6156927,-73.9124837
P.S. 238 Anne Sullivan,"1633 E 8th St, Brooklyn, NY 11223, USA",40.6086363,-73.96468270000001
P.S. 242 Leonard P. Stavisky Early Childhood School,"29-66 137th St, Flushing, NY 11354, USA",40.7697954,-73.83201830000002
P.S. 244 Richard R. Green,"5404 Tilden Ave, Brooklyn, NY 11203, USA",40.6479192,-73.92546519999999
P.S. 245,"249 E 17th St, Brooklyn, NY 11226, USA",40.64478039999999,-73.9628965
P.S. 246 Poe Center,"2641 Grand Concourse, The Bronx, NY 10468, USA",40.8662088,-73.89532319999999
P.S. 249 The Caton,"18 Marlborough Rd, Brooklyn, NY 11226, USA",40.6497568,-73.96638159999999
P.S. 250 George H. Lindsay,"108 Montrose Ave, Brooklyn, NY 11206, USA",40.7068735,-73.9454882
P.S. 253,"601 Ocean View Ave, Brooklyn, NY 11235, USA",40.5800951,-73.96171609999999
P.S. 254 - The Rosa Parks School,"84-40 101st St, Jamaica, NY 11418, USA",40.697177,-73.847866
P.S. 256 Benjamin Banneker,"114 Kosciuszko St, Brooklyn, NY 11216, USA",40.6905691,-73.9498049
P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,"371 89th St, Brooklyn, NY 11209, USA",40.6210088,-74.0295991
P.S. 272 Curtis Estabrook,"10124 Seaview Ave, Brooklyn, NY 11236, USA",40.6356012,-73.88645520000001
P.S. 277 Gerritsen Beach,"2529 Gerritsen Ave, Brooklyn, NY 11229, USA",40.5958779,-73.9279629
P.S. 28 - The Thomas Emanuel Early Childhood Center,"109-10 47th Ave, Flushing, NY 11368, USA",40.7471119,-73.85417369999999
P.S. 288 The Shirley Tanyhill,"2950 W 25th St, Brooklyn, NY 11224, USA",40.5742244,-73.9924608
P.S. 290 Juan Morel Campos,"135 Schenck Ave, Brooklyn, NY 11207, USA",40.6781833,-73.8894552
P.S. 295,"330 18th St, Brooklyn, NY 11215, USA",40.660959,-73.9889256
P.S. 297 Abraham Stockton,"700 Park Ave, Brooklyn, NY 11206, USA",40.6975513,-73.9477893
P.S. 298 Dr. Betty Shabazz,"85 Watkins St, Brooklyn, NY 11212, USA",40.671229,-73.90759880000002
P.S. 3 Raul Julia Micro Society,"2100 Lafontaine Ave, The Bronx, NY 10457, USA",40.8502515,-73.8917519
P.S. 306 Ethan Allen,"970 Vermont St, Brooklyn, NY 11207, USA",40.6552486,-73.8863315
P.S. 306,"40 W Tremont Ave, The Bronx, NY 10453, USA",40.8513941,-73.9108139
P.S. 307 Daniel Hale Williams,"209 York St, Brooklyn, NY 11201, USA",40.701462,-73.98141609999999
P.S. 308 Clara Cardwell,"616 Quincy St, Brooklyn, NY 11221, USA",40.688365,-73.9353462
P.S. 309 The George E. Wibecan Preparatory Academy,"794 Monroe St, Brooklyn, NY 11221, USA",40.6881066,-73.92436289999999
P.S. 312 Bergen Beach,"7103 Avenue T, Brooklyn, NY 11234, USA",40.6219849,-73.90925229999999
P.S. 326,"1800 Utica Ave, Brooklyn, NY 11234, USA",40.6284252,-73.92812889999999
P.S. 327 Dr. Rose B. English,"111 Bristol St, Brooklyn, NY 11212, USA",40.6682057,-73.9120378
P.S. 328 Phyllis Wheatley,"330 Alabama Ave, Brooklyn, NY 11207, USA",40.6679093,-73.8984124
P.S. 330,"110-08 Northern Blvd, Corona, NY 11368, USA",40.7576723,-73.85895169999999
P.S. 335 Granville T. Woods,"130 Rochester Ave, Brooklyn, NY 11213, USA",40.6744514,-73.9283126
P.S. 346 Abe Stark,"1400 Granville Payne Ave, Brooklyn, NY 11239, USA",40.6467211,-73.88182979999999
P.S. 361 East Flatbush Early Childhood School,"1957 Nostrand Ave, Brooklyn, NY 11210, USA",40.6377697,-73.9478957
P.S. 375 Jackie Robinson School,"46 McKeever Pl, Brooklyn, NY 11225, USA",40.6648721,-73.9595858
P.S. 376,"194 Harman St, Brooklyn, NY 11237, USA",40.698048,-73.92016600000001
P.S. 377 Alejandrina B. De Gautier,"200 Woodbine St, Brooklyn, NY 11221, USA",40.6937526,-73.9149302
P.S. 38 Roberto Clemente,"232 E 103rd St, New York, NY 10029, USA",40.7886777,-73.9448453
P.S. 380 John Wayne Elementary,"370 Marcy Ave, Brooklyn, NY 11206, USA",40.70199789999999,-73.9535703
P.S. 39 Francis J. Murphy Jr.,"99 MacFarland Ave, Staten Island, NY 10305, USA",40.5978429,-74.070158
P.S. 398 Walter Weaver,"60 E 94th St, Brooklyn, NY 11212, USA",40.66390699999999,-73.92780739999999
P.S. 398,"69-01 34th Ave, Flushing, NY 11377, USA",40.7527804,-73.896934
P.S. 399 Stanley Eugene Clark,"2707 Albemarle Rd, Brooklyn, NY 11226, USA",40.6482682,-73.95182539999999
P.S. 58 - School of Heroes,"72-24 Grand Ave, Flushing, NY 11378, USA",40.72851,-73.890603
P.S. 595,"700 E 179th St, The Bronx, NY 10457, USA",40.8463129,-73.8895023
P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,"1664 Benson Ave, Brooklyn, NY 11214, USA",40.6069857,-74.0073354
P.S. 90 Edna Cohen School,"2840 W 12th St, Brooklyn, NY 11224, USA",40.5780803,-73.98034
P.S. 971,"6214 4th Ave, Brooklyn, NY 11220, USA",40.6395128,-74.0203312
P.S. K225 - The Eileen E. Zaglin,"1075 Ocean View Ave, Brooklyn, NY 11235, USA",40.57980999999999,-73.9560103
P.S. X014 Senator John Calandra,"3047 Bruckner Blvd, The Bronx, NY 10461, USA",40.8358366,-73.8254453
P.S. X088 - S. Silverstein Little Sparrow School,"1340 Sheridan Ave, The Bronx, NY 10456, USA",40.8370256,-73.9135238
P.S. X114 - Luis Llorens Torres Schools,"1155 Cromwell Ave, The Bronx, NY 10452, USA",40.8349464,-73.92326070000001
P.S. X140 The Eagle School,"916 Eagle Ave, The Bronx, NY 10456, USA",40.8234226,-73.9076299
P.S. X811,"1434 Longfellow Ave, The Bronx, NY 10459, USA",40.8302019,-73.8874708
P.S./ M.S.138 Sunrise,"251-11 Weller Ave, Jamaica, NY 11422, USA",40.6599832,-73.7344343
P.S./I.S. 104 The Fort Hamilton School,"9115 5th Ave, Brooklyn, NY 11209, USA",40.6181011,-74.0286826
P.S./I.S. 217 Roosevelt Island,"645 Main St, New York, NY 10044, USA",40.764146,-73.9483885
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,"1220 Gerard Ave, The Bronx, NY 10452, USA",40.8354825,-73.91972419999999
P.S./M.S. 004 Crotona Park West,"1717 Fulton Ave, The Bronx, NY 10457, USA",40.841754,-73.89797
PS 007 Louis F. Simeone Annex,"76-05 51st Ave, Elmhurst, NY 11373, USA",40.737207,-73.887005
PS 112 Lefferts Park Annex,"7301 15th Ave, Brooklyn, NY 11228, USA",40.6185893,-74.0018134
PS 226 Annex,"1910 Sedgwick Ave, The Bronx, NY 10453, USA",40.8552395,-73.91654319999999
PS 235 Janice Marie Knight School Annex,"10001 Flatlands Ave, Brooklyn, NY 11236, USA",40.6455815,-73.898157
PS 354,"126-10 Bedell St, Jamaica, NY 11434, USA",40.6797883,-73.7744566
PS 5 Port Morris,"564 Jackson Ave, The Bronx, NY 10455, USA",40.8135432,-73.9085228
PS 503: The School of Discovery,"330 59th St, Brooklyn, NY 11220, USA",40.6419176,-74.0190873
PS 78,"100 Tompkins Ave., Staten Island, NY 10304, USA",40.62223609999999,-74.07912089999999
PS/MS 194,"2365 Waterbury Ave, The Bronx, NY 10462, USA",40.8351995,-73.8465928
Paula Hedbavny School,"421 W 219th St, New York, NY 10034, USA",40.8714909,-73.9122076
Performing Arts and Technology High School,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.66699029999999,-73.8947048
Port Richmond High School,"85 St Josephs Ave, Staten Island, NY 10302, USA",40.634843,-74.142015
RED HOOK NEIGHBORHOOD SCHOOL,"27 Huntington St, Brooklyn, NY 11231, USA",40.6779117,-74.0049023
Ralph A. Fabrizio School,"619 72nd St, Brooklyn, NY 11209, USA",40.6301379,-74.0186737
Richmond Hill High School,"89-30 114th St, Richmond Hill, NY 11418, USA",40.6949961,-73.8339115
River East Elementary,"2351 1st Avenue, New York, NY 10035, USA",40.7992798,-73.93391609999999
Riverdale / Kingsbridge Academy (Middle School / High School 141),"660 W 237th St, The Bronx, NY 10463, USA",40.8877008,-73.91360499999999
School for Excellence,"1110 Boston Rd, The Bronx, NY 10456, USA",40.8273033,-73.9045097
School for International Studies,"284 Baltic St, Brooklyn, NY 11201, USA",40.6849801,-73.9937004
School of the Future High School,"127 E 22nd St, New York, NY 10010, USA",40.7391109,-73.9853486
South Bronx Preparatory: A College Board School,"360 E 145th St, The Bronx, NY 10454, USA",40.8137231,-73.9206428
Stephen T. Mather Building Arts Craf,"439 W 49th St, New York, NY 10019, USA",40.76399929999999,-73.9908346
Stuyvesant High School,"345 Chambers St, New York, NY 10282, USA",40.7181492,-74.0137623
Tag Young Scholars,"240 E 109th St, New York, NY 10029, USA",40.792727,-73.9421359
Teachers College Community School,"168 Morningside Ave, New York, NY 10027, USA",40.812531,-73.95354739999999
The Active Learning Elementary School,"137-20 Franklin Ave, Flushing, NY 11355, USA",40.7545655,-73.8261965
The Angelo Patri Middle School,"2225 Webster Ave, The Bronx, NY 10457, USA",40.8546548,-73.8970362
The Bellaire School,"207-11 89th Ave, Jamaica, NY 11427, USA",40.720849,-73.757595
The Christa McAuliffe School\I.S. 187,"1171 65th St, Brooklyn, NY 11219, USA",40.6278464,-74.0040229
The Highbridge Green School,"200 W 167th St, The Bronx, NY 10452, USA",40.8380483,-73.9279911
The Hunts Point School,"730 Bryant Ave, The Bronx, NY 10474, USA",40.8157147,-73.8853003
The Lexington Academy,"131 E 104th St, New York, NY 10029, USA",40.7914348,-73.9474169
The Longwood Academy of Discovery,"888 Rev James A Polite Ave, The Bronx, NY 10459, USA",40.8201293,-73.8986342
The Matilda Avenue School,"4520 Matilda Ave, The Bronx, NY 10470, USA",40.90145589999999,-73.8540818
The Michael J. Petrides School,"715 Ocean Terrace, Staten Island, NY 10301, USA",40.608634,-74.10509290000002
The SEEALL Academy,"5601 16th Ave, Brooklyn, NY 11204, USA",40.6267129,-73.9895684
The STAR Academy - P.S.63,"121 E 3rd St, New York, NY 10009, USA",40.7244069,-73.9862627
The School of Creativity and Innovation,"736 48th St, Brooklyn, NY 11220, USA",40.6429373,-74.0041677
The Walton Avenue School,"1425 Walton Ave, The Bronx, NY 10452, USA",40.8403454,-73.91572839999999
Thomas A. Edison Career and Technical Education High School,"165-65 84th Ave, Jamaica, NY 11432, USA",40.7162107,-73.7988039
Thurgood Marshall Academy Lower School,"276 W 151st St, New York, NY 10039, USA",40.8258675,-73.9378107
Thurgood Marshall Academy for Learning and Social,"200 W 135th St, New York, NY 10030, USA",40.815261,-73.9443103
Urban Academy Laboratory High School,"317 E 67th St, New York, NY 10065, USA",40.7653683,-73.9596962
Vista Academy,"350 Linwood St, Brooklyn, NY 11208, USA",40.6771191,-73.8838969
Wadleigh Secondary School for the Performing & Vis,"215 W 114th St, New York, NY 10026, USA",40.8025744,-73.95414029999999
William Cullen Bryant High School,"48-10 31st Ave, Astoria, NY 11103, USA",40.7576896,-73.91037779999999
William E. Grady Career and Technical Education High School,"25 Brighton 4th Rd, Brooklyn, NY 11235, USA",40.5829591,-73.96344289999999
Williamsburg High School for Art and Technology,"223 Graham Ave, Brooklyn, NY 11206, USA",40.709729,-73.9443861
Young Voices Academy Of The Bronx,"800 Lydig Ave, The Bronx, NY 10462, USA",40.854327,-73.8636587
